player_name,age,team_abbreviation,draft_round,draft_number,player_height,player_weight,ptsseason1,ptsseason2,ptsseason3,ptsseason4,ptsseason5
DeMarcus Cousins,20,SAC,1,5,210.82,122.46984,14.1,18.1,17.1,22.7,24.1
DeMarre Carroll,23,MEM,1,27,203.2,96.161504,2.9,0.8,4.5,6,11.1
DeSagana Diop,20,CLE,1,8,213.36,136.0776,1.4,1.5,2.3,1,2.3
DeShawn Stevenson,20,UTA,1,23,195.58,95.25432,2.2,4.9,4.6,11.4,7.8
Deandre Ayton,20,PHX,1,1,215.9,113.398,16.3,18.2,14.4,17.2,18
Delon Wright,24,TOR,1,20,195.58,86.18248,3.8,5.6,8,8.7,6.9
Delonte West,21,BOS,1,24,193.04,81.64656,4.5,11.8,12.2,8.3,11.7
Dennis Schroder,20,ATL,1,17,185.42,76.203456,3.7,10,11,17.9,19.4
Dennis Smith Jr.,20,DAL,1,9,190.5,88.45044,15.2,13.6,5.5,6.7,5.6
Derek Anderson,23,CLE,1,13,195.58,88.45044,11.7,10.8,16.9,15.5,10.8
Derek Fisher,22,LAL,1,24,185.42,90.7184,3.9,5.8,5.9,6.3,11.5
Deron Williams,22,UTA,1,3,190.5,95.25432,10.8,16.2,18.8,19.4,18.7
Derrick Favors,19,UTA,1,3,208.28,111.583632,6.8,8.8,9.4,13.3,16
Derrick White,23,SAS,1,29,193.04,86.18248,3.2,9.9,11.3,15.4,13.2
Derrick Williams,21,MIN,1,2,203.2,109.315672,8.8,12,8,8.3,9.3
Desmond Mason,23,OKC,1,17,195.58,97.52228,5.9,12.4,14.3,14.4,17.2
Devean George,22,LAL,1,23,203.2,99.79024,3.2,3.1,7.1,6.9,7.4
Devin Booker,19,PHX,1,13,198.12,93.439952,13.8,22.1,24.9,26.6,26.6
Devin Harris,22,DAL,1,5,190.5,83.91452,5.7,9.9,10.2,14.8,21.3
Devonte' Graham,24,CHA,2,34,187.96,83.91452,4.7,18.2,14.8,11.9,7.4
Dillon Brooks,22,MEM,2,45,198.12,99.79024,11,7.5,16.2,17.2,18.4
Dion Glover,21,ATL,1,20,195.58,103.418976,6.5,5.9,8.9,9.7,9
Dion Waiters,21,CLE,1,4,193.04,97.52228,14.7,15.9,11.8,9.8,15.8
Dirk Nowitzki,21,DAL,1,9,213.36,107.501304,8.2,17.5,21.8,23.4,25.1
Domantas Sabonis,21,OKC,1,11,210.82,108.86208,5.9,11.6,14.1,18.5,20.3
Dominic McGuire,22,WAS,2,47,205.74,99.79024,1.3,4.5,0.7,3.3,3.5
Donnell Harvey,20,DAL,1,22,203.2,99.79024,1.2,5.7,7.9,4,2.7
Donovan Mitchell,21,UTA,1,13,190.5,97.52228,20.5,23.8,24,26.4,25.9
Donte DiVincenzo,22,MIL,1,17,193.04,92.079176,4.9,9.2,10.4,9,9.4
Dorell Wright,19,MIA,1,19,200.66,95.25432,2.3,2.9,6,7.9,3
Doug McDermott,23,CHI,1,11,203.2,102.0582,3,9.4,9,7.8,7.3
Draymond Green,23,GSW,2,35,200.66,104.32616,2.9,6.2,11.7,14,10.2
Drew Gooden,21,ORL,1,4,208.28,104.32616,12.5,11.6,14.4,10.7,11.1
Dwight Howard,19,ORL,1,1,210.82,113.398,12,15.8,17.6,20.7,20.6
Dwight Powell,23,DAL,2,45,210.82,108.86208,3.1,5.8,6.7,8.5,10.6
Dwyane Wade,22,MIA,1,5,193.04,96.161504,16.2,24.1,27.2,27.4,24.6
E'Twaun Moore,23,BOS,2,55,193.04,86.636072,2.9,7.8,6.3,2.7,7.5
Earl Clark,22,PHX,1,14,208.28,102.0582,2.7,3.9,2.7,7.3,4.8
Earl Watson,23,OKC,2,39,185.42,86.18248,3.6,5.5,5.7,7.7,8.9
Ed Davis,22,TOR,1,13,208.28,97.52228,7.7,6.3,7.7,5.7,8.3
Eddie House,23,MIA,2,37,185.42,81.64656,5,8,7.5,6.8,5.8
Eddy Curry,19,CHI,1,4,210.82,129.27372,6.7,10.5,14.7,16.1,13.6
Eduardo Najera,24,DAL,2,38,203.2,106.140528,3.3,6.5,6.7,3,5.2
Ekpe Udoh,24,GSW,1,6,208.28,111.13004,4.1,5.6,4.3,3.4,0.9
Elfrid Payton,21,ORL,1,10,193.04,83.91452,8.9,10.7,12.8,12.7,10.6
Elton Brand,21,CHI,1,1,203.2,117.93392,20.1,20.1,18.2,18.5,20
Emeka Okafor,22,CHA,1,2,208.28,114.305184,15.1,13.2,14.4,13.8,13.2
Emmanuel Mudiay,20,DEN,1,7,195.58,90.7184,12.8,11,8.6,14.8,7.3
Enes Kanter,20,UTA,1,3,210.82,121.109064,4.6,7.2,12.3,15.5,12.7
Eric Bledsoe,21,LAC,1,18,185.42,88.45044,6.7,3.3,8.5,17.7,17
Eric Gordon,20,LAC,1,7,190.5,100.697424,16.1,16.9,22.3,20.6,17
Eric Maynor,23,OKC,1,20,190.5,79.3786,4.7,4.2,4.2,4.5,2.6
Erick Dampier,21,IND,1,10,210.82,120.20188,5.1,11.8,8.8,8,7.4
Evan Fournier,20,DEN,1,20,198.12,90.7184,5.3,8.4,12,15.4,17.2
Evan Turner,22,PHI,1,2,200.66,92.98636,7.2,9.4,13.3,14,9.5
Flip Murray,23,OKC,2,41,193.04,86.18248,1.9,12.4,7,11.2,6.7
Francisco Garcia,24,SAC,1,23,200.66,88.45044,5.6,6,12.3,12.7,8.1
Frank Kaminsky,23,CHA,1,9,213.36,108.86208,7.5,11.7,11.1,8.6,9.7
Frank Ntilikina,19,NYK,1,8,195.58,86.18248,5.9,5.7,6.3,2.7,4.1
Fred Jones,24,IND,1,14,187.96,98.883056,1.2,4.9,10.6,9.6,6.5
Gary Harris,20,DEN,1,19,193.04,95.25432,3.4,12.3,14.9,17.5,12.9
George Hill,23,SAS,1,26,187.96,81.64656,5.7,12.4,11.6,9.6,14.2
Georges Niang,24,IND,2,50,203.2,104.32616,0.9,1,4,5.9,6.9
Gerald Henderson,22,CHA,1,12,195.58,97.52228,2.6,9.6,15.1,15.5,14
Gerald Wallace,19,SAC,1,25,200.66,97.52228,3.2,4.7,2,11.1,15.2
Giannis Antetokounmpo,19,MIL,1,15,205.74,92.98636,6.8,12.7,16.9,22.9,26.9
Gilbert Arenas,20,GSW,2,30,190.5,86.636072,10.9,18.3,19.6,25.5,29.3
Glen Davis,22,BOS,2,35,205.74,131.088088,4.5,7,6.3,11.7,9.3
Glenn Robinson III,21,PHI,2,40,200.66,100.697424,2.1,3.8,6.1,4.1,4.2
Goran Dragic,23,PHX,2,45,193.04,81.64656,4.5,7.9,7.5,11.7,14.7
Gordon Hayward,21,UTA,1,9,203.2,93.893544,5.4,11.8,14.1,16.2,19.3
Gorgui Dieng,24,MIN,1,21,210.82,107.954896,4.8,9.7,10.1,10,5.9
Grayson Allen,23,UTA,1,21,195.58,89.811216,5.6,8.7,10.6,11.1,10.4
Greg Monroe,21,DET,1,7,210.82,113.398,9.4,15.4,16,15.2,15.9
Greivis Vasquez,24,MEM,1,28,198.12,95.707912,3.6,8.9,13.9,9.6,9.5
Hakim Warrick,23,MEM,1,19,205.74,99.336648,4.1,12.7,11.4,11.6,9.6
Hamidou Diallo,20,OKC,2,45,195.58,89.811216,3.7,6.9,11.6,11,9.3
Harrison Barnes,21,GSW,1,7,203.2,95.25432,9.2,9.5,10.1,11.7,19.2
Hasheem Thabeet,23,MEM,1,2,220.98,121.109064,3.1,1.1,1.8,2.4,1.2
Hedo Turkoglu,22,SAC,1,16,203.2,99.79024,5.3,10.1,6.7,9.2,14
Henry Ellenson,20,DET,1,18,210.82,111.13004,3.2,4,6,0.4,7.5
Hilton Armstrong,22,NOP,1,12,210.82,106.59412,3.1,2.7,4.8,2.2,1.7
Iman Shumpert,22,NYK,1,17,195.58,99.79024,9.5,6.8,6.7,8,5.8
Isaiah Canaan,23,HOU,2,34,182.88,85.275296,4.6,9.2,11,4.6,8.6
Isaiah Thomas,23,SAC,2,60,175.26,83.91452,11.5,13.9,20.3,16.4,22.2
Ivica Zubac,20,LAL,2,32,215.9,108.86208,7.5,3.7,8.9,8.3,9
JJ Hickson,20,CLE,1,19,205.74,109.769264,4,8.5,13.8,8.4,12.7
JJ Redick,23,ORL,1,11,193.04,86.18248,6,4.1,6,9.6,10.1
JR Smith,19,NOP,1,18,198.12,99.79024,10.3,7.7,13,12.3,15.2
JaVale McGee,21,WAS,1,18,213.36,107.501304,6.5,6.4,10.1,11.3,9.1
Jabari Parker,20,MIL,1,2,203.2,108.86208,12.3,14.1,20.1,12.6,14.5
